sample_id,gene_symbol,expression_value
TCGA-06-5412-01,arhgef10l,9.2027
TCGA-12-5299-01,arhgef10l,10.1554
TCGA-06-2565-01,arhgef10l,10.7435
TCGA-06-2561-01,arhgef10l,10.3637
TCGA-14-0736-02,arhgef10l,9.5081
TCGA-19-2629-01,arhgef10l,10.6992
TCGA-06-5412-01,hif3a,5.6368
TCGA-12-5299-01,hif3a,6.6161
TCGA-06-2565-01,hif3a,7.1685
TCGA-06-2561-01,hif3a,9.5361
TCGA-14-0736-02,hif3a,4.4123
TCGA-19-2629-01,hif3a,6.4178
TCGA-06-5412-01,rnf17,0.0
TCGA-12-5299-01,rnf17,0.0
TCGA-06-2565-01,rnf17,0.0
TCGA-06-2561-01,rnf17,0.0
TCGA-14-0736-02,rnf17,0.0
TCGA-19-2629-01,rnf17,0.0
TCGA-06-5412-01,rnf10,11.5695
TCGA-12-5299-01,rnf10,11.7939
TCGA-06-2565-01,rnf10,11.4544
TCGA-06-2561-01,rnf10,12.0213
TCGA-14-0736-02,rnf10,11.3385
TCGA-19-2629-01,rnf10,11.6421
TCGA-06-5412-01,rnf11,11.8886
TCGA-12-5299-01,rnf11,11.6181
TCGA-06-2565-01,rnf11,11.3313
TCGA-06-2561-01,rnf11,11.054
TCGA-14-0736-02,rnf11,12.635
TCGA-19-2629-01,rnf11,11.4403
TCGA-06-5412-01,rnf13,11.2292
TCGA-12-5299-01,rnf13,11.6185
TCGA-06-2565-01,rnf13,11.266
TCGA-06-2561-01,rnf13,11.661
TCGA-14-0736-02,rnf13,12.5014
TCGA-19-2629-01,rnf13,11.6729
TCGA-06-5412-01,gtf2ip1,12.9166
TCGA-12-5299-01,gtf2ip1,13.5478
TCGA-06-2565-01,gtf2ip1,13.3979
TCGA-06-2561-01,gtf2ip1,13.0592
TCGA-14-0736-02,gtf2ip1,12.7114
TCGA-19-2629-01,gtf2ip1,13.2746
TCGA-06-5412-01,rem1,4.3275
TCGA-12-5299-01,rem1,2.1446
TCGA-06-2565-01,rem1,3.8684
TCGA-06-2561-01,rem1,3.1517
TCGA-14-0736-02,rem1,4.8672
TCGA-19-2629-01,rem1,8.4297
TCGA-06-5412-01,mtvr2,0.6134
TCGA-12-5299-01,mtvr2,0.0
TCGA-06-2565-01,mtvr2,1.6443
TCGA-06-2561-01,mtvr2,0.0
TCGA-14-0736-02,mtvr2,0.0
TCGA-19-2629-01,mtvr2,1.1691
TCGA-06-5412-01,rtn4rl2,4.9139
TCGA-12-5299-01,rtn4rl2,4.911
TCGA-06-2565-01,rtn4rl2,7.198
TCGA-06-2561-01,rtn4rl2,4.894
TCGA-14-0736-02,rtn4rl2,7.0171
TCGA-19-2629-01,rtn4rl2,5.6591
TCGA-06-5412-01,c16orf13,9.0553
TCGA-12-5299-01,c16orf13,10.2343
TCGA-06-2565-01,c16orf13,9.1064
TCGA-06-2561-01,c16orf13,8.9711
TCGA-14-0736-02,c16orf13,10.2866
TCGA-19-2629-01,c16orf13,9.8804
TCGA-06-5412-01,c16orf11,0.0
TCGA-12-5299-01,c16orf11,0.8917
TCGA-06-2565-01,c16orf11,0.0
TCGA-06-2561-01,c16orf11,0.0
TCGA-14-0736-02,c16orf11,1.0891
TCGA-19-2629-01,c16orf11,0.502
TCGA-06-5412-01,fgfr1op2,9.2537
TCGA-12-5299-01,fgfr1op2,9.4007
TCGA-06-2565-01,fgfr1op2,9.2792
TCGA-06-2561-01,fgfr1op2,10.6784
TCGA-14-0736-02,fgfr1op2,9.8381
TCGA-19-2629-01,fgfr1op2,9.2456
TCGA-06-5412-01,tsks,1.0426
TCGA-12-5299-01,tsks,0.0
TCGA-06-2565-01,tsks,1.4333
TCGA-06-2561-01,tsks,1.0887
TCGA-14-0736-02,tsks,1.7026
TCGA-19-2629-01,tsks,0.502
TCGA-06-5412-01,atrx,10.0197
TCGA-12-5299-01,atrx,9.8795
TCGA-06-2565-01,atrx,10.9992
TCGA-06-2561-01,atrx,10.9051
TCGA-14-0736-02,atrx,9.6706
TCGA-19-2629-01,atrx,8.5109
TCGA-06-5412-01,pmm2,9.4674
TCGA-12-5299-01,pmm2,8.6982
TCGA-06-2565-01,pmm2,8.9762
TCGA-06-2561-01,pmm2,8.6836
TCGA-14-0736-02,pmm2,8.9713
TCGA-19-2629-01,pmm2,8.9689
TCGA-06-5412-01,loc100272146,3.3977
TCGA-12-5299-01,loc100272146,3.6494
TCGA-06-2565-01,loc100272146,5.2636
TCGA-06-2561-01,loc100272146,5.8272
TCGA-14-0736-02,loc100272146,3.9687
TCGA-19-2629-01,loc100272146,4.9134
TCGA-06-5412-01,ass1,8.0694
TCGA-12-5299-01,ass1,9.9654
TCGA-06-2565-01,ass1,6.5563
TCGA-06-2561-01,ass1,7.1653
TCGA-14-0736-02,ass1,10.621
TCGA-19-2629-01,ass1,7.1079
TCGA-06-5412-01,ncbp1,9.2524
TCGA-12-5299-01,ncbp1,10.2955
TCGA-06-2565-01,ncbp1,10.1242
TCGA-06-2561-01,ncbp1,9.6091
TCGA-14-0736-02,ncbp1,8.8056
TCGA-19-2629-01,ncbp1,10.1146
TCGA-06-5412-01,znf709,6.4838
TCGA-12-5299-01,znf709,7.7587
TCGA-06-2565-01,znf709,8.1952
TCGA-06-2561-01,znf709,7.0163
TCGA-14-0736-02,znf709,7.3317
TCGA-19-2629-01,znf709,7.2916
TCGA-06-5412-01,znf708,7.6381
TCGA-12-5299-01,znf708,7.7841
TCGA-06-2565-01,znf708,9.0133
TCGA-06-2561-01,znf708,8.2132
TCGA-14-0736-02,znf708,8.0549
TCGA-19-2629-01,znf708,8.6564
TCGA-06-5412-01,rbm14,9.4578
TCGA-12-5299-01,rbm14,9.9051
TCGA-06-2565-01,rbm14,9.7999
TCGA-06-2561-01,rbm14,9.7997
TCGA-14-0736-02,rbm14,9.1022
TCGA-19-2629-01,rbm14,10.3371
TCGA-06-5412-01,ncbp2,11.266
TCGA-12-5299-01,ncbp2,11.289
TCGA-06-2565-01,ncbp2,11.3249
TCGA-06-2561-01,ncbp2,11.3056
TCGA-14-0736-02,ncbp2,11.2043
TCGA-19-2629-01,ncbp2,11.3399
TCGA-06-5412-01,disc1,9.196
TCGA-12-5299-01,disc1,8.8056
TCGA-06-2565-01,disc1,10.3484
TCGA-06-2561-01,disc1,8.9986
TCGA-14-0736-02,disc1,7.8517
TCGA-19-2629-01,disc1,9.2952
TCGA-06-5412-01,camk1,10.904
TCGA-12-5299-01,camk1,9.7203
TCGA-06-2565-01,camk1,9.1302
TCGA-06-2561-01,camk1,9.5955
TCGA-14-0736-02,camk1,11.0182
TCGA-19-2629-01,camk1,9.1085
TCGA-06-5412-01,rpl37,12.715
TCGA-12-5299-01,rpl37,12.7262
TCGA-06-2565-01,rpl37,11.7345
TCGA-06-2561-01,rpl37,11.7774
TCGA-14-0736-02,rpl37,13.2067
TCGA-19-2629-01,rpl37,12.7163
TCGA-06-5412-01,spr,8.9556
TCGA-12-5299-01,spr,9.1982
TCGA-06-2565-01,spr,7.665
TCGA-06-2561-01,spr,8.5314
TCGA-14-0736-02,spr,9.5651
TCGA-19-2629-01,spr,9.3615
TCGA-06-5412-01,znf700,7.8351
TCGA-12-5299-01,znf700,7.5341
TCGA-06-2565-01,znf700,8.6246
TCGA-06-2561-01,znf700,8.1023
TCGA-14-0736-02,znf700,7.5207
TCGA-19-2629-01,znf700,6.9662
TCGA-06-5412-01,znf707,6.9349
TCGA-12-5299-01,znf707,7.08
TCGA-06-2565-01,znf707,7.8005
TCGA-06-2561-01,znf707,7.3903
TCGA-14-0736-02,znf707,6.3606
TCGA-19-2629-01,znf707,7.6466
TCGA-06-5412-01,camk4,3.4684
TCGA-12-5299-01,camk4,3.6494
TCGA-06-2565-01,camk4,4.4763
TCGA-06-2561-01,camk4,5.7983
TCGA-14-0736-02,camk4,5.1679
TCGA-19-2629-01,camk4,1.9685
TCGA-06-5412-01,znf704,5.7116
TCGA-12-5299-01,znf704,7.0384
TCGA-06-2565-01,znf704,8.1067
TCGA-06-2561-01,znf704,7.0897
TCGA-14-0736-02,znf704,4.4123
TCGA-19-2629-01,znf704,7.1842
TCGA-06-5412-01,loc339240,4.2493
TCGA-12-5299-01,loc339240,0.0
TCGA-06-2565-01,loc339240,0.5112
TCGA-06-2561-01,loc339240,0.6447
TCGA-14-0736-02,loc339240,0.0
TCGA-19-2629-01,loc339240,0.0
TCGA-06-5412-01,golga6b,0.0
TCGA-12-5299-01,golga6b,0.5137
TCGA-06-2565-01,golga6b,1.4333
TCGA-06-2561-01,golga6b,1.9324
TCGA-14-0736-02,golga6b,2.1317
TCGA-19-2629-01,golga6b,0.0
TCGA-06-5412-01,rnf115,8.9861
TCGA-12-5299-01,rnf115,8.4477
TCGA-06-2565-01,rnf115,8.5415
TCGA-06-2561-01,rnf115,8.8102
TCGA-14-0736-02,rnf115,10.0089
TCGA-19-2629-01,rnf115,8.7374
TCGA-06-5412-01,rnf112,8.798
TCGA-12-5299-01,rnf112,7.0663
TCGA-06-2565-01,rnf112,6.8554
TCGA-06-2561-01,rnf112,8.8826
TCGA-14-0736-02,rnf112,8.2545
TCGA-19-2629-01,rnf112,9.7588
TCGA-06-5412-01,zc3h14,10.1398
TCGA-12-5299-01,zc3h14,10.2876
TCGA-06-2565-01,zc3h14,10.4501
TCGA-06-2561-01,zc3h14,9.6945
TCGA-14-0736-02,zc3h14,8.8626
TCGA-19-2629-01,zc3h14,9.3114
TCGA-06-5412-01,spn,7.0833
TCGA-12-5299-01,spn,5.3036
TCGA-06-2565-01,spn,6.376
TCGA-06-2561-01,spn,8.3415
TCGA-14-0736-02,spn,6.4377
TCGA-19-2629-01,spn,6.9853
TCGA-06-5412-01,hmgcll1,6.2426
TCGA-12-5299-01,hmgcll1,3.7899
TCGA-06-2565-01,hmgcll1,3.1132
TCGA-06-2561-01,hmgcll1,4.2922
TCGA-14-0736-02,hmgcll1,6.6948
TCGA-19-2629-01,hmgcll1,3.6133
TCGA-06-5412-01,nacap1,3.0737
TCGA-12-5299-01,nacap1,2.8049
TCGA-06-2565-01,nacap1,2.138
TCGA-06-2561-01,nacap1,2.6018
TCGA-14-0736-02,nacap1,3.4785
TCGA-19-2629-01,nacap1,3.0136
TCGA-06-5412-01,lrrtm1,5.3486
TCGA-12-5299-01,lrrtm1,5.1556
TCGA-06-2565-01,lrrtm1,6.3002
TCGA-06-2561-01,lrrtm1,6.1809
TCGA-14-0736-02,lrrtm1,6.4929
TCGA-19-2629-01,lrrtm1,8.5483
TCGA-06-5412-01,grin1,7.2533
TCGA-12-5299-01,grin1,6.8372
TCGA-06-2565-01,grin1,3.4301
TCGA-06-2561-01,grin1,9.4457
TCGA-14-0736-02,grin1,9.5906
TCGA-19-2629-01,grin1,5.548
TCGA-06-5412-01,rbmy1a3p,0.0
TCGA-12-5299-01,rbmy1a3p,0.0
TCGA-06-2565-01,rbmy1a3p,0.0
TCGA-06-2561-01,rbmy1a3p,0.0
TCGA-14-0736-02,rbmy1a3p,0.0
TCGA-19-2629-01,rbmy1a3p,0.0
TCGA-06-5412-01,dhx8,9.6874
TCGA-12-5299-01,dhx8,9.8363
TCGA-06-2565-01,dhx8,9.9806
TCGA-06-2561-01,dhx8,9.9566
TCGA-14-0736-02,dhx8,9.0275
TCGA-19-2629-01,dhx8,10.3885
TCGA-06-5412-01,dhx9,11.604
TCGA-12-5299-01,dhx9,12.0961
TCGA-06-2565-01,dhx9,12.1577
TCGA-06-2561-01,dhx9,11.7313
TCGA-14-0736-02,dhx9,10.9303
TCGA-19-2629-01,dhx9,11.9445
TCGA-06-5412-01,loc441204,6.7484
TCGA-12-5299-01,loc441204,6.6836
TCGA-06-2565-01,loc441204,3.6898
TCGA-06-2561-01,loc441204,6.6782
TCGA-14-0736-02,loc441204,8.1892
TCGA-19-2629-01,loc441204,6.0246
TCGA-06-5412-01,tcof1,9.1897
TCGA-12-5299-01,tcof1,9.2739
TCGA-06-2565-01,tcof1,9.1969
TCGA-06-2561-01,tcof1,9.5771
TCGA-14-0736-02,tcof1,7.5899
TCGA-19-2629-01,tcof1,9.8199
TCGA-06-5412-01,lrrtm3,7.7627
TCGA-12-5299-01,lrrtm3,9.4978
TCGA-06-2565-01,lrrtm3,9.3644
TCGA-06-2561-01,lrrtm3,6.9776
TCGA-14-0736-02,lrrtm3,7.2803
TCGA-19-2629-01,lrrtm3,7.2271
TCGA-06-5412-01,nup98,10.3306
TCGA-12-5299-01,nup98,10.5138
TCGA-06-2565-01,nup98,10.5651
TCGA-06-2561-01,nup98,10.7005
TCGA-14-0736-02,nup98,9.8819
TCGA-19-2629-01,nup98,10.9018
TCGA-06-5412-01,xpc,9.8328
TCGA-12-5299-01,xpc,9.8657
TCGA-06-2565-01,xpc,10.2066
TCGA-06-2561-01,xpc,10.2178
TCGA-14-0736-02,xpc,8.9735
TCGA-19-2629-01,xpc,10.2984
TCGA-06-5412-01,slc12a2,9.5955
